Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)
0.28	0.0297838
0.281	0.0294909
0.282	0.0291897
0.283	0.0291897
0.284	0.0298116
0.285	0.03009
0.286	0.029844
0.287	0.0296506
0.288	0.0297621
0.289	0.0302904
0.29	0.0305743
0.291	0.0305904
0.292	0.0301678
0.293	0.0299117
0.294	0.0299117
0.295	0.0302488
0.296	0.0302525
0.297	0.0299858
0.298	0.0296845
0.299	0.0297849
0.3	0.0301277
0.301	0.0299315
0.302	0.029554
0.303	0.0292271
0.304	0.0292691
0.305	0.0294895
0.306	0.0296314
0.307	0.029335
0.308	0.0289234
0.309	0.0287099
0.31	0.0291121
0.311	0.0294631
0.312	0.0296497
0.313	0.0293805
0.314	0.0290858
0.315	0.0292837
0.316	0.0298043
0.317	0.0301009
0.318	0.030099
0.319	0.0297509
0.32	0.0297761
0.321	0.0300653
0.322	0.0303936
0.323	0.0304248
0.324	0.0303115
0.325	0.0301379
0.326	0.0301572
0.327	0.0302437
0.328	0.0303505
0.329	0.0299855
0.33	0.0296033
0.331	0.0294426
0.332	0.0295528
0.333	0.0295129
0.334	0.0292846
0.335	0.0289434
0.336	0.0287103
0.337	0.0287153
0.338	0.02872
0.339	0.0285936
0.34	0.0284506
0.341	0.0284399
0.342	0.0285808
0.343	0.0288913
0.344	0.0291922
0.345	0.0294824
0.346	0.0293687
0.347	0.0293545
0.348	0.0298314
0.349	0.0303597
0.35	0.0305678
0.351	0.0301483
0.352	0.0296843
0.353	0.0297185
0.354	0.0302306
0.355	0.0306168
0.356	0.0303157
0.357	0.0296825
0.358	0.0293672
0.359	0.0294343
0.36	0.0296829
0.361	0.0295328
0.362	0.0289928
0.363	0.028469
0.364	0.0283335
0.365	0.0287078
0.366	0.0290095
0.367	0.0288351
0.368	0.0284688
0.369	0.0284688
0.37	0.0287262
0.371	0.0292882
0.372	0.0296917
0.373	0.029702
0.374	0.0295491
0.375	0.0296027
0.376	0.0299365
0.377	0.0301254
0.378	0.0299534
0.379	0.0297376
0.38	0.0297376
0.381	0.0296777
0.382	0.0297355
0.383	0.0295985
0.384	0.0294267
0.385	0.0294267
0.386	0.0292968
0.387	0.0292968
0.388	0.0286256
0.389	0.0285106
0.39	0.0285106
0.391	0.0287896
0.392	0.0285155
0.393	0.0281284
0.394	0.0280348
0.395	0.0284252
0.396	0.0289394
0.397	0.0290835
0.398	0.0287049
0.399	0.0284755
0.4	0.0287765
0.401	0.0298582
0.402	0.0298582
0.403	0.0300167
0.404	0.0296517
0.405	0.0294942
0.406	0.029876
0.407	0.0306654
0.408	0.0309722
0.409	0.0307888
0.41	0.0302552
0.411	0.0299202
0.412	0.0302901
0.413	0.030901
0.414	0.0308993
0.415	0.0303398
0.416	0.0296298
0.417	0.0294558
0.418	0.0299989
0.419	0.0304583
0.42	0.0300466
0.421	0.0292204
0.422	0.0285602
0.423	0.0287455
0.424	0.0295833
0.425	0.0301429
0.426	0.0297362
0.427	0.0288454
0.428	0.0284555
0.429	0.0291158
0.43	0.0303984
0.431	0.0310637
0.432	0.0299172
0.433	0.0299172
0.434	0.0295222
0.435	0.0306983
0.436	0.0306983
0.437	0.0307399
0.438	0.0298148
0.439	0.0294101
0.44	0.0298958
0.441	0.0306966
0.442	0.0307978
0.443	0.0307978
0.444	0.0307978
0.445	0.0292031
0.446	0.029472
0.447	0.0301422
0.448	0.0301422
0.449	0.0300461
0.45	0.029497
0.451	0.0292587
0.452	0.0299178
0.453	0.0299178
0.454	0.0309043
0.455	0.0309043
0.456	0.0302873
0.457	0.0306119
0.458	0.0313155
0.459	0.0317375
0.46	0.0314423
0.461	0.0308279
0.462	0.0305854
0.463	0.0309151
0.464	0.0312439
0.465	0.0312333
0.466	0.030783
0.467	0.0304907
0.468	0.0306164
0.469	0.0306164
0.47	0.0307455
0.471	0.0304701
0.472	0.0301362
0.473	0.0299681
0.474	0.030001
0.475	0.0299174
0.476	0.0298577
0.477	0.0296297
0.478	0.0295465
0.479	0.0296725
0.48	0.0298593
0.481	0.0299323
0.482	0.0298468
0.483	0.0297986
0.484	0.030081
0.485	0.0304488
0.486	0.0304488
0.487	0.0303005
0.488	0.0303005
0.489	0.0305267
0.49	0.0307571
0.491	0.0308115
0.492	0.0307336
0.493	0.030749
0.494	0.0309489
0.495	0.0309489
0.496	0.0309303
0.497	0.0306383
0.498	0.030447
0.499	0.0305021
0.5	0.0307239
0.501	0.0307705
0.502	0.0303782
0.503	0.0299879
0.504	0.0299668
0.505	0.0301633
0.506	0.0302587
0.507	0.0300659
0.508	0.0297191
0.509	0.0294797
0.51	0.0297845
0.511	0.0303781
0.512	0.0305058
0.513	0.0302283
0.514	0.0299412
0.515	0.0299673
0.516	0.0304818
0.517	0.031052
0.518	0.031052
0.519	0.0300634
0.52	0.0296599
0.521	0.030027
0.522	0.030027
0.523	0.0304436
0.524	0.0304436
0.525	0.0292403
0.526	0.0292403
0.527	0.0298133
0.528	0.0298133
0.529	0.0295282
0.53	0.0295282
0.531	0.0290346
0.532	0.0293583
0.533	0.0293583
0.534	0.0297256
0.535	0.0294776
0.536	0.029565
0.537	0.029565
0.538	0.0304568
0.539	0.0306352
0.54	0.0305572
0.541	0.0305572
0.542	0.0306309
0.543	0.0306309
0.544	0.0306309
0.545	0.0304378
0.546	0.0304378
0.547	0.0304378
0.548	0.0305807
0.549	0.0305807
0.55	0.0304891
0.551	0.0302121
0.552	0.030012
0.553	0.030012
0.554	0.0299745
0.555	0.0298501
0.556	0.0295015
0.557	0.0294245
0.558	0.0293647
0.559	0.0293647
0.56	0.0290409
0.561	0.0290843
0.562	0.0291225
0.563	0.0292898
0.564	0.0294486
0.565	0.0293166
0.566	0.0293166
0.567	0.0296053
0.568	0.0298482
0.569	0.0298994
0.57	0.0299505
0.571	0.0299505
0.572	0.0300393
0.573	0.0302453
0.574	0.0306695
0.575	0.0304496
0.576	0.0300711
0.577	0.029973
0.578	0.0303134
0.579	0.0306385
0.58	0.0305237
0.581	0.0305237
0.582	0.0298165
0.583	0.0296968
0.584	0.0299297
0.585	0.0301947
0.586	0.0300503
0.587	0.0295387
0.588	0.029151
0.589	0.0291184
0.59	0.0294829
0.591	0.0297742
0.592	0.0294968
0.593	0.0290531
0.594	0.0291706
0.595	0.0296232
0.596	0.0300896
0.597	0.0303491
0.598	0.0303824
0.599	0.0301166
0.6	0.0299955
0.601	0.0301223
0.602	0.0304138
0.603	0.0303134
0.604	0.0299388
0.605	0.0297635
0.606	0.0296724
0.607	0.0295751
0.608	0.0295695
0.609	0.0293647
0.61	0.0289478
0.611	0.0287468
0.612	0.0288154
0.613	0.0288252
0.614	0.028828
0.615	0.0286694
0.616	0.0284022
0.617	0.0284112
0.618	0.0287542
0.619	0.0292312
0.62	0.0294214
0.621	0.0294913
0.622	0.0296208
0.623	0.0300458
0.624	0.030431
0.625	0.0307889
0.626	0.0307681
0.627	0.0303656
0.628	0.0304373
0.629	0.0307267
0.63	0.0309026
0.631	0.0309349
0.632	0.0306828
0.633	0.0302887
0.634	0.0301745
0.635	0.0304974
0.636	0.0304097
0.637	0.0300837
0.638	0.0297389
0.639	0.0294473
0.64	0.0295862
0.641	0.0298264
0.642	0.0296669
0.643	0.0292222
0.644	0.0292222
0.645	0.0290128
0.646	0.0297487
0.647	0.0299486
0.648	0.0295734
0.649	0.0293572
0.65	0.0294967
0.651	0.0299035
0.652	0.0304046
0.653	0.0303667
0.654	0.0298978
0.655	0.0299945
0.656	0.0304102
0.657	0.0309298
0.658	0.0311136
0.659	0.0305306
0.66	0.0299616
0.661	0.0304631
0.662	0.0312453
0.663	0.0311525
0.664	0.0302869
0.665	0.0298025
0.666	0.0298586
0.667	0.0301694
0.668	0.0304699
0.669	0.0302859
0.67	0.0294435
0.671	0.0293044
0.672	0.0295164
0.673	0.0302827
0.674	0.0305208
0.675	0.0301234
0.676	0.0295788
0.677	0.0295157
0.678	0.0304304
0.679	0.0312257
0.68	0.0315703
0.681	0.0311904
0.682	0.0305436
0.683	0.030701
0.684	0.0313267
0.685	0.0313267
0.686	0.0306578
0.687	0.0306578
0.688	0.0304482
0.689	0.0307262
0.69	0.0312223
0.691	0.0312973
0.692	0.0305911
0.693	0.029927
0.694	0.0298281
0.695	0.0301251
0.696	0.0306078
0.697	0.0305257
0.698	0.0298957
0.699	0.0293724
0.7	0.0296494
0.701	0.0304649
0.702	0.0308858
0.703	0.0306682
0.704	0.0301709
0.705	0.0300584
0.706	0.0306588
0.707	0.0313643
0.708	0.0315019
0.709	0.0310484
0.71	0.0304505
0.711	0.0305711
0.712	0.0310524
0.713	0.0315467
0.714	0.0313982
0.715	0.0309833
0.716	0.0305997
0.717	0.0310405
0.718	0.0310405
0.719	0.0314437
0.72	0.0309915
0.721	0.0304525
0.722	0.0303073
0.723	0.0305746
0.724	0.0309278
0.725	0.030837
0.726	0.0303161
0.727	0.0300157
0.728	0.0301789
0.729	0.030654
0.73	0.0309413
0.731	0.0306278
0.732	0.0303489
0.733	0.0302318
0.734	0.0310241
0.735	0.0310241
0.736	0.0310241
0.737	0.0309104
0.738	0.0305483
0.739	0.0304913
0.74	0.0304913
0.741	0.0308836
0.742	0.0311147
0.743	0.0308915
0.744	0.0305473
0.745	0.0303627
0.746	0.0305642
0.747	0.0307342
0.748	0.0305118
0.749	0.0299965
0.75	0.0298426
0.751	0.0303787
0.752	0.0303787
0.753	0.0301517
0.754	0.0297245
0.755	0.0293832
0.756	0.029655
0.757	0.0301005
0.758	0.0301651
0.759	0.0301651
0.76	0.029981
0.761	0.029981
0.762	0.0308978
0.763	0.0310131
0.764	0.030764
0.765	0.030764
0.766	0.0308045
0.767	0.0311823
0.768	0.0311823
0.769	0.0307997
0.77	0.0304925
0.771	0.0304925
0.772	0.0307359
0.773	0.0307511
0.774	0.0302773
0.775	0.0302773
0.776	0.0297339
0.777	0.0299332
0.778	0.0299332
0.779	0.0297183
0.78	0.0293657
0.781	0.0291703
0.782	0.0294687
0.783	0.0297347
0.784	0.0297347
0.785	0.0296054
0.786	0.0295334
0.787	0.0298975
0.788	0.0303428
0.789	0.0305831
0.79	0.0303803
0.791	0.0300373
0.792	0.0300001
0.793	0.0301931
0.794	0.0304284
0.795	0.0303157
