Time [s]	gt_FA2TC_data.n_meas(W:0000EED4h)	
0.290	0.0296575	
0.291	0.0300362	
0.292	0.0302773	
0.293	0.0303695	
0.294	0.0304525	
0.295	0.0302876	
0.296	0.0301113	
0.297	0.0299589	
0.298	0.0300502	
0.299	0.0306137	
0.300	0.0307601	
0.301	0.0304437	
0.302	0.0298351	
0.303	0.0295621	
0.304	0.0299534	
0.305	0.0304548	
0.306	0.0305196	
0.307	0.0300099	
0.308	0.0294385	
0.309	0.0292314	
0.310	0.0297718	
0.311	0.0303263	
0.312	0.0304965	
0.313	0.0302116	
0.314	0.0295545	
0.315	0.0291231	
0.316	0.0294698	
0.317	0.0302679	
0.318	0.0308489	
0.319	0.0305308	
0.320	0.0295553	
0.321	0.0290513	
0.322	0.029579	
0.323	0.0303654	
0.324	0.0305779	
0.325	0.0301358	
0.326	0.0291639	
0.327	0.0291057	
0.328	0.0297913	
0.329	0.0303194	
0.330	0.0303365	
0.331	0.0299609	
0.332	0.029504	
0.333	0.0296272	
0.334	0.0300946	
0.335	0.0307129	
0.336	0.0308343	
0.337	0.0306318	
0.338	0.0302289	
0.339	0.030296	
0.340	0.0306558	
0.341	0.031288	
0.342	0.0313642	
0.343	0.0306941	
0.344	0.0302074	
0.345	0.0303957	
0.346	0.0307034	
0.347	0.0309202	
0.348	0.0307228	
0.349	0.0303362	
0.350	0.0301352	
0.351	0.0302208	
0.352	0.0304006	
0.353	0.0302428	
0.354	0.0300762	
0.355	0.0301698	
0.356	0.0302923	
0.357	0.0303015	
0.358	0.0301405	
0.359	0.0299425	
0.360	0.0298377	
0.361	0.0300933	
0.362	0.0304808	
0.363	0.0303482	
0.364	0.0299043	
0.365	0.0296185	
0.366	0.0293943	
0.367	0.0296654	
0.368	0.0301493	
0.369	0.0302243	
0.370	0.0299116	
0.371	0.0294831	
0.372	0.0292948	
0.373	0.0294274	
0.374	0.0298206	
0.375	0.0303754	
0.376	0.0304916	
0.377	0.0299531	
0.378	0.029229	
0.379	0.0292074	
0.380	0.0300407	
0.381	0.0309119	
0.382	0.0308915	
0.383	0.0300905	
0.384	0.0295511	
0.385	0.0300209	
0.386	0.0306291	
0.387	0.0307284	
0.388	0.0303644	
0.389	0.0298608	
0.390	0.0297833	
0.391	0.0301954	
0.392	0.0306104	
0.393	0.0304008	
0.394	0.0298773	
0.395	0.0297652	
0.396	0.0300117	
0.397	0.0302117	
