Time [s]	gt_FA2TC_data.n_meas(W:0000EED4h)	
0.000	0.0309875	
0.001	0.0306205	
0.002	0.0305493	
0.003	0.0310262	
0.004	0.0311992	
0.005	0.0306567	
0.006	0.0300921	
0.007	0.0301409	
0.008	0.0307012	
0.009	0.0313429	
0.010	0.0314175	
0.011	0.0312782	
0.012	0.0314878	
0.013	0.0320028	
0.014	0.0322095	
0.015	0.0320453	
0.016	0.0319105	
0.017	0.0319895	
0.018	0.0322513	
0.019	0.0324007	
0.020	0.032478	
0.021	0.0323048	
0.022	0.0321859	
0.023	0.0320242	
0.024	0.0319658	
0.025	0.0319658	
0.026	0.0319951	
0.027	0.0321434	
0.028	0.0320788	
0.029	0.0313976	
0.030	0.0307519	
0.031	0.0306543	
0.032	0.0309206	
0.033	0.0310161	
0.034	0.0310161	
0.035	0.0302023	
0.036	0.0300443	
0.037	0.0305039	
0.038	0.0308411	
0.039	0.0305525	
0.040	0.0300769	
0.041	0.0301768	
0.042	0.0308047	
0.043	0.0313737	
0.044	0.0314756	
0.045	0.0310098	
0.046	0.0304955	
0.047	0.0303607	
0.048	0.0310438	
0.049	0.0318203	
0.050	0.0320769	
0.051	0.0318651	
0.052	0.0315952	
0.053	0.0313731	
0.054	0.031352	
0.055	0.0314933	
0.056	0.0316457	
0.057	0.031905	
0.058	0.0320937	
0.059	0.0319231	
0.060	0.0315695	
0.061	0.0314492	
0.062	0.031583	
0.063	0.0316284	
0.064	0.0314798	
0.065	0.0315738	
0.066	0.0318619	
0.067	0.0319827	
0.068	0.0317104	
0.069	0.0312785	
0.070	0.0311417	
0.071	0.0310446	
0.072	0.0310629	
0.073	0.0309126	
0.074	0.0305704	
0.075	0.0303388	
0.076	0.0302298	
0.077	0.030291	
0.078	0.0301663	
0.079	0.0300131	
0.080	0.030335	
0.081	0.0302618	
0.082	0.030073	
0.083	0.0300472	
0.084	0.0301379	
0.085	0.0304794	
0.086	0.0306721	
0.087	0.0307507	
0.088	0.0306448	
0.089	0.0307137	
0.090	0.030862	
0.091	0.0311089	
0.092	0.0312002	
0.093	0.0314182	
0.094	0.0313277	
0.095	0.0309652	
0.096	0.0308527	
0.097	0.0310776	
0.098	0.0312588	
0.099	0.0309854	
0.100	0.0308952	
0.101	0.0308388	
0.102	0.0311942	
0.103	0.0314955	
0.104	0.0315433	
0.105	0.0312362	
0.106	0.031135	
0.107	0.0310754	
0.108	0.0311376	
0.109	0.0309534	
0.110	0.0306312	
0.111	0.0300166	
0.112	0.030312	
0.113	0.0306672	
0.114	0.0305818	
0.115	0.0300675	
0.116	0.0296805	
0.117	0.0298064	
0.118	0.0303827	
0.119	0.0308315	
0.120	0.0306773	
0.121	0.0305775	
0.122	0.0303	
0.123	0.0299859	
0.124	0.0301702	
0.125	0.0301702	
0.126	0.0308722	
0.127	0.0309127	
0.128	0.0308692	
0.129	0.0306675	
0.130	0.0303473	
0.131	0.0304968	
0.132	0.030714	
0.133	0.0303257	
0.134	0.0298739	
0.135	0.0299718	
0.136	0.0305325	
0.137	0.0306261	
0.138	0.0301345	
0.139	0.0295267	
0.140	0.0292999	
0.141	0.0296088	
0.142	0.0297621	
0.143	0.0296307	
0.144	0.0294698	
0.145	0.0295565	
0.146	0.0299608	
0.147	0.0297602	
0.148	0.0294216	
0.149	0.0296874	
0.150	0.0306013	
0.151	0.0312403	
0.152	0.0307845	
0.153	0.0297012	
0.154	0.0292498	
0.155	0.0299459	
0.156	0.0308444	
0.157	0.0305976	
0.158	0.0293487	
0.159	0.0287887	
0.160	0.0293574	
0.161	0.0301595	
0.162	0.030193	
0.163	0.0290717	
0.164	0.0281408	
0.165	0.0282936	
0.166	0.0291594	
0.167	0.0295982	
0.168	0.0293652	
0.169	0.0287265	
0.170	0.0281685	
0.171	0.0284266	
0.172	0.029284	
0.173	0.029428	
0.174	0.0290552	
0.175	0.0290705	
0.176	0.0294599	
0.177	0.0297363	
0.178	0.02941	
0.179	0.029127	
0.180	0.0291007	
0.181	0.0297582	
0.182	0.0303612	
0.183	0.0299624	
0.184	0.0294394	
0.185	0.0293384	
0.186	0.0296855	
0.187	0.0301985	
0.188	0.0301751	
0.189	0.0297048	
0.190	0.0294152	
0.191	0.0294219	
0.192	0.0296694	
0.193	0.02959	
0.194	0.0294885	
0.195	0.02927	
0.196	0.0292779	
0.197	0.0293242	
0.198	0.0293836	
0.199	0.0294595	
0.200	0.029602	
0.201	0.0296156	
0.202	0.0295484	
0.203	0.0297064	
0.204	0.0300336	
0.205	0.0304177	
0.206	0.0303336	
0.207	0.030127	
0.208	0.030113	
0.209	0.0303611	
0.210	0.0307128	
0.211	0.0305742	
0.212	0.0303528	
0.213	0.0299798	
0.214	0.0299846	
0.215	0.0299697	
0.216	0.0298551	
0.217	0.0296887	
0.218	0.0293643	
0.219	0.0293823	
0.220	0.0294745	
0.221	0.029738	
0.222	0.0296547	
0.223	0.0295883	
0.224	0.0294299	
0.225	0.0294299	
0.226	0.0297245	
0.227	0.0300285	
0.228	0.0301379	
0.229	0.029936	
0.230	0.0299821	
0.231	0.0301967	
0.232	0.0304324	
0.233	0.0304153	
0.234	0.0305011	
0.235	0.0304466	
0.236	0.0304489	
0.237	0.0304516	
0.238	0.0305055	
0.239	0.0305742	
0.240	0.0306919	
0.241	0.0302411	
0.242	0.0300075	
0.243	0.0300812	
0.244	0.0302003	
0.245	0.0301375	
0.246	0.0297486	
0.247	0.0296812	
0.248	0.0295449	
0.249	0.0295288	
0.250	0.0296274	
0.251	0.0292637	
0.252	0.0288866	
0.253	0.028802	
0.254	0.0292323	
0.255	0.0295161	
0.256	0.0294075	
0.257	0.0294865	
0.258	0.0295074	
0.259	0.0299557	
0.260	0.0306211	
0.261	0.030682	
0.262	0.0302252	
0.263	0.0300152	
0.264	0.0301584	
0.265	0.0305494	
0.266	0.0309192	
0.267	0.0309806	
0.268	0.0307402	
0.269	0.030486	
0.270	0.0306331	
0.271	0.0307764	
0.272	0.0305462	
0.273	0.0303545	
0.274	0.0305672	
0.275	0.0306608	
0.276	0.0304784	
0.277	0.0299031	
0.278	0.0295677	
0.279	0.029588	
0.280	0.0297868	
0.281	0.0296237	
0.282	0.0292339	
0.283	0.0288055	
0.284	0.0289516	
0.285	0.0293783	
0.286	0.0294	
0.287	0.0290225	
0.288	0.0286676	
0.289	0.0287105	
0.290	0.0292484	
0.291	0.0296344	
0.292	0.0295933	
0.293	0.0292546	
0.294	0.028943	
0.295	0.0288023	
0.296	0.0291343	
0.297	0.0295945	
0.298	0.0296691	
0.299	0.0295157	
0.300	0.0294119	
0.301	0.0295689	
0.302	0.0294855	
0.303	0.0294883	
0.304	0.0294453	
0.305	0.0296025	
0.306	0.029563	
0.307	0.029567	
