Time [s]	gt_FA2TC_data.n_meas(W:0000EED4h)	
0.000	0.0303708	
0.001	0.0299868	
0.002	0.029609	
0.003	0.0294969	
0.004	0.0300708	
0.005	0.0305613	
0.006	0.0305919	
0.007	0.0303819	
0.008	0.0299088	
0.009	0.0296872	
0.010	0.0298313	
0.011	0.0304625	
0.012	0.0309219	
0.013	0.0306255	
0.014	0.0300716	
0.015	0.029716	
0.016	0.0296651	
0.017	0.0302148	
0.018	0.0306728	
0.019	0.0305635	
0.020	0.0299134	
0.021	0.0295407	
0.022	0.0293405	
0.023	0.0295378	
0.024	0.0299319	
0.025	0.0300185	
0.026	0.029586	
0.027	0.0291336	
0.028	0.0291473	
0.029	0.029389	
0.030	0.0298392	
0.031	0.0298528	
0.032	0.0294274	
0.033	0.0288891	
0.034	0.0289091	
0.035	0.0293314	
0.036	0.0297031	
0.037	0.0298663	
0.038	0.0294516	
0.039	0.0289802	
0.040	0.0286282	
0.041	0.029057	
0.042	0.0296294	
0.043	0.0296573	
0.044	0.0295153	
0.045	0.0290984	
0.046	0.0287532	
0.047	0.0290608	
0.048	0.0297034	
0.049	0.0301527	
0.050	0.0299694	
0.051	0.0297266	
0.052	0.0294335	
0.053	0.0295561	
0.054	0.030067	
0.055	0.030497	
0.056	0.0304747	
0.057	0.0303323	
0.058	0.0301699	
0.059	0.0300973	
0.060	0.0301403	
0.061	0.0304522	
0.062	0.0308786	
0.063	0.0307503	
0.064	0.0300659	
0.065	0.0300659	
0.066	0.0297536	
0.067	0.0304171	
0.068	0.0304171	
0.069	0.0304442	
0.070	0.0304442	
0.071	0.0292269	
0.072	0.0292269	
0.073	0.0299469	
0.074	0.0305949	
0.075	0.0305949	
0.076	0.0301102	
0.077	0.0293686	
0.078	0.0292501	
0.079	0.0299126	
0.080	0.0299126	
0.081	0.030028	
0.082	0.030028	
0.083	0.0293855	
0.084	0.0293855	
0.085	0.0294965	
0.086	0.0300365	
0.087	0.0300365	
0.088	0.0299274	
0.089	0.0296798	
0.090	0.029812	
0.091	0.0299032	
0.092	0.0299032	
0.093	0.0301131	
0.094	0.0301131	
0.095	0.0301596	
0.096	0.0301596	
0.097	0.0306312	
0.098	0.0302815	
0.099	0.0302815	
0.100	0.0301052	
0.101	0.0301052	
0.102	0.0307051	
0.103	0.0307051	
0.104	0.0303668	
0.105	0.0301113	
0.106	0.0302211	
0.107	0.0303434	
0.108	0.0300898	
0.109	0.0298735	
0.110	0.030091	
0.111	0.0303698	
0.112	0.0305227	
0.113	0.0305227	
0.114	0.0301669	
0.115	0.0299628	
0.116	0.029987	
0.117	0.029987	
0.118	0.0303811	
0.119	0.0302198	
0.120	0.0300194	
0.121	0.0297663	
0.122	0.0296514	
0.123	0.0298476	
0.124	0.029916	
0.125	0.0297348	
0.126	0.029586	
0.127	0.0293946	
0.128	0.0294911	
0.129	0.0296464	
0.130	0.0298156	
0.131	0.0297158	
0.132	0.0297158	
0.133	0.0296582	
0.134	0.0295867	
0.135	0.0296967	
0.136	0.0298371	
0.137	0.0301133	
0.138	0.0301923	
0.139	0.0301373	
0.140	0.0300071	
0.141	0.0298905	
0.142	0.0298367	
0.143	0.0303726	
0.144	0.0308475	
0.145	0.0306337	
0.146	0.0302364	
0.147	0.0301288	
0.148	0.0302518	
0.149	0.0305237	
0.150	0.0306507	
0.151	0.0304415	
0.152	0.0300724	
0.153	0.0299896	
0.154	0.0299327	
0.155	0.0301081	
0.156	0.0302466	
0.157	0.0302204	
0.158	0.0297817	
0.159	0.0296044	
0.160	0.0296395	
0.161	0.0299369	
0.162	0.0301805	
0.163	0.0299721	
0.164	0.0297103	
0.165	0.0293427	
0.166	0.0293652	
0.167	0.029717	
0.168	0.0299222	
0.169	0.0297292	
0.170	0.029408	
0.171	0.0293078	
0.172	0.0295498	
0.173	0.029821	
0.174	0.0299246	
0.175	0.029759	
0.176	0.0295165	
0.177	0.0293414	
0.178	0.0293556	
0.179	0.0298053	
0.180	0.0300512	
0.181	0.03026	
0.182	0.0302702	
0.183	0.0299844	
0.184	0.0296324	
0.185	0.0297248	
0.186	0.0302403	
0.187	0.0307167	
0.188	0.0307214	
0.189	0.0300145	
0.190	0.0296635	
0.191	0.0296635	
0.192	0.0301426	
0.193	0.0307785	
0.194	0.0307785	
0.195	0.0306869	
0.196	0.0302682	
0.197	0.0299115	
0.198	0.0300628	
0.199	0.0305674	
0.200	0.0308512	
0.201	0.0307883	
0.202	0.0302728	
0.203	0.0299026	
0.204	0.0299026	
0.205	0.030165	
0.206	0.0305084	
0.207	0.0304407	
0.208	0.0298516	
0.209	0.0292701	
0.210	0.0290679	
0.211	0.0296052	
0.212	0.0302639	
0.213	0.0301877	
0.214	0.0295743	
0.215	0.0290338	
0.216	0.0288282	
0.217	0.0293722	
0.218	0.0299646	
0.219	0.0300882	
0.220	0.029603	
0.221	0.0293055	
0.222	0.0293391	
0.223	0.0297692	
0.224	0.0300868	
0.225	0.0300779	
0.226	0.0298295	
0.227	0.0295702	
0.228	0.0297637	
0.229	0.030245	
0.230	0.0305927	
0.231	0.0304189	
0.232	0.0298666	
0.233	0.0295638	
0.234	0.0295812	
0.235	0.0300462	
0.236	0.0304048	
0.237	0.0303386	
0.238	0.0299609	
0.239	0.0296037	
0.240	0.0296069	
0.241	0.0300138	
0.242	0.0304307	
0.243	0.030451	
0.244	0.0300118	
0.245	0.0295668	
0.246	0.0294916	
0.247	0.0297726	
0.248	0.0300431	
0.249	0.0300446	
0.250	0.0295173	
0.251	0.0292148	
0.252	0.0289936	
0.253	0.0293544	
0.254	0.029679	
0.255	0.0295873	
0.256	0.0293297	
0.257	0.029118	
0.258	0.0292173	
0.259	0.0295353	
0.260	0.0296155	
0.261	0.0294844	
0.262	0.0292792	
0.263	0.0292201	
0.264	0.0292482	
0.265	0.0292482	
0.266	0.0294714	
0.267	0.0294536	
0.268	0.0292794	
0.269	0.0292449	
0.270	0.0292693	
0.271	0.0293151	
0.272	0.02948	
0.273	0.0293666	
0.274	0.0292014	
0.275	0.0291558	
0.276	0.0292558	
0.277	0.029212	
0.278	0.0291598	
0.279	0.029228	
0.280	0.0294911	
0.281	0.029745	
0.282	0.0297466	
0.283	0.0295103	
0.284	0.0292395	
0.285	0.0293703	
0.286	0.0296537	
0.287	0.0299723	
0.288	0.0298631	
0.289	0.0296109	
0.290	0.0292717	
0.291	0.0292131	
0.292	0.0294679	
