Time [s]	gt_FA2TC_data.n_meas(W:0000EED4h)	
0.000	0.0269742	
0.001	0.0271116	
0.002	0.0274102	
0.003	0.0278633	
0.004	0.0281093	
0.005	0.0280849	
0.006	0.0282221	
0.007	0.0284977	
0.008	0.0284977	
0.009	0.0289995	
0.010	0.0289995	
0.011	0.0294956	
0.012	0.0291147	
0.013	0.028733	
0.014	0.0285775	
0.015	0.0289069	
0.016	0.0293215	
0.017	0.0289811	
0.018	0.0284125	
0.019	0.0279519	
0.020	0.0279612	
0.021	0.0280912	
0.022	0.0280766	
0.023	0.0279034	
0.024	0.0276452	
0.025	0.027595	
0.026	0.027595	
0.027	0.0281958	
0.028	0.0284195	
0.029	0.0284139	
0.030	0.0284228	
0.031	0.0288921	
0.032	0.0289379	
0.033	0.0294401	
0.034	0.0297554	
0.035	0.029697	
0.036	0.0301233	
0.037	0.0303166	
0.038	0.0306015	
0.039	0.0309789	
0.040	0.0309789	
0.041	0.0309904	
0.042	0.0309904	
0.043	0.0313063	
0.044	0.0313063	
0.045	0.0306406	
0.046	0.0308482	
0.047	0.0310576	
0.048	0.0310186	
0.049	0.0305939	
0.050	0.0299266	
0.051	0.0299266	
0.052	0.0298651	
0.053	0.0298651	
0.054	0.0294353	
0.055	0.0294353	
0.056	0.0294385	
0.057	0.0294385	
0.058	0.0300968	
0.059	0.0300968	
0.060	0.030515	
0.061	0.030515	
0.062	0.0308829	
0.063	0.0308829	
0.064	0.0317835	
0.065	0.0317835	
0.066	0.0317632	
0.067	0.0314017	
0.068	0.0313532	
0.069	0.0316625	
0.070	0.0318984	
0.071	0.0317213	
0.072	0.0310585	
0.073	0.0307069	
0.074	0.0309502	
0.075	0.0311048	
0.076	0.0309826	
0.077	0.0306074	
0.078	0.0301873	
0.079	0.0299919	
0.080	0.0305451	
0.081	0.0305849	
0.082	0.030388	
0.083	0.0302543	
0.084	0.0306529	
0.085	0.031376	
0.086	0.0316065	
0.087	0.0314192	
0.088	0.031356	
0.089	0.0316701	
0.090	0.0320951	
0.091	0.0322599	
0.092	0.032048	
0.093	0.0320981	
0.094	0.032337	
0.095	0.0326682	
0.096	0.0324455	
0.097	0.0323024	
0.098	0.032274	
0.099	0.0320896	
0.100	0.0317131	
0.101	0.03162	
0.102	0.0317818	
0.103	0.0318138	
0.104	0.0312444	
0.105	0.0305804	
0.106	0.0302929	
0.107	0.0305593	
0.108	0.030892	
0.109	0.0308874	
0.110	0.0304809	
0.111	0.0301063	
