Time [s]	gt_FA2TC_data.n_meas(W:0000EED4h)	
0.000	0.0304177	
0.001	0.030917	
0.002	0.0310772	
0.003	0.0303315	
0.004	0.0295356	
0.005	0.0293821	
0.006	0.0296086	
0.007	0.0294317	
0.008	0.0291299	
0.009	0.0291548	
0.010	0.029228	
0.011	0.0287632	
0.012	0.0279252	
0.013	0.0277983	
0.014	0.028497	
0.015	0.0292683	
0.016	0.0292738	
0.017	0.0286826	
0.018	0.0285777	
0.019	0.0293459	
0.020	0.0303071	
0.021	0.0308584	
0.022	0.0307516	
0.023	0.0305135	
0.024	0.0306639	
0.025	0.0312081	
0.026	0.0314394	
0.027	0.031585	
0.028	0.0313642	
0.029	0.0310259	
0.030	0.0307639	
0.031	0.0309486	
0.032	0.0312245	
0.033	0.0310786	
0.034	0.0305263	
0.035	0.0298068	
0.036	0.0296873	
0.037	0.0298491	
0.038	0.0298711	
0.039	0.029598	
0.040	0.0294688	
0.041	0.029425	
0.042	0.0295968	
0.043	0.0298636	
0.044	0.0300639	
0.045	0.0304213	
0.046	0.0305863	
0.047	0.0304316	
0.048	0.0301576	
0.049	0.0304151	
0.050	0.0308397	
0.051	0.0308397	
0.052	0.0307359	
0.053	0.0306505	
0.054	0.0305309	
0.055	0.0305112	
0.056	0.0307181	
0.057	0.0309024	
0.058	0.0307013	
0.059	0.0304835	
0.060	0.0304603	
0.061	0.0304375	
0.062	0.0302638	
0.063	0.0298376	
0.064	0.0298376	
0.065	0.030158	
0.066	0.030158	
0.067	0.0302336	
0.068	0.0302336	
0.069	0.030105	
0.070	0.030105	
0.071	0.0304597	
0.072	0.0304597	
0.073	0.0312196	
0.074	0.0312196	
0.075	0.0305833	
0.076	0.0305833	
0.077	0.0311986	
0.078	0.0311986	
0.079	0.031416	
0.080	0.0311402	
0.081	0.0308537	
0.082	0.0308537	
0.083	0.031044	
0.084	0.0310283	
0.085	0.0306541	
0.086	0.030278	
0.087	0.0300651	
0.088	0.0300662	
0.089	0.0304114	
0.090	0.0304798	
0.091	0.0299509	
0.092	0.0294443	
0.093	0.0294443	
0.094	0.0301204	
0.095	0.0302341	
0.096	0.029356	
0.097	0.0285837	
0.098	0.0290108	
0.099	0.0301033	
0.100	0.0309143	
0.101	0.0305679	
0.102	0.0299858	
0.103	0.0300899	
0.104	0.0306565	
0.105	0.0321047	
0.106	0.0313418	
0.107	0.0313418	
0.108	0.0301233	
0.109	0.0306779	
0.110	0.0318816	
0.111	0.0316039	
0.112	0.0304469	
0.113	0.0298933	
0.114	0.030749	
0.115	0.0316191	
0.116	0.0310318	
0.117	0.0296783	
0.118	0.0293622	
0.119	0.0300543	
0.120	0.0308811	
0.121	0.0307462	
0.122	0.0307462	
0.123	0.0294536	
0.124	0.0292885	
0.125	0.0298404	
0.126	0.0306101	
0.127	0.0305386	
0.128	0.0300008	
0.129	0.029801	
0.130	0.0302287	
0.131	0.0307186	
0.132	0.0307531	
0.133	0.0303072	
0.134	0.0305159	
0.135	0.031258	
0.136	0.0313206	
0.137	0.0304797	
0.138	0.0301423	
0.139	0.0312628	
0.140	0.0324772	
0.141	0.0321264	
0.142	0.0304918	
0.143	0.0297168	
0.144	0.0304051	
0.145	0.0315544	
0.146	0.031802	
0.147	0.0307601	
0.148	0.0295905	
0.149	0.0295263	
0.150	0.0304808	
0.151	0.0308688	
0.152	0.030446	
0.153	0.0298294	
0.154	0.0296948	
0.155	0.0304242	
0.156	0.0312255	
0.157	0.0317939	
0.158	0.0313121	
0.159	0.0305702	
0.160	0.0307501	
0.161	0.0320028	
0.162	0.0332792	
0.163	0.0331659	
0.164	0.0314898	
0.165	0.0314898	
0.166	0.0329588	
0.167	0.0329588	
0.168	0.0321466	
0.169	0.0321466	
0.170	0.0307287	
0.171	0.0307287	
0.172	0.0321655	
0.173	0.0321655	
0.174	0.0294192	
0.175	0.0294192	
0.176	0.0310803	
0.177	0.0310803	
0.178	0.0300839	
0.179	0.0300839	
0.180	0.0296075	
0.181	0.0315431	
0.182	0.0322885	
0.183	0.0322885	
0.184	0.0299213	
0.185	0.0293264	
0.186	0.0308423	
0.187	0.0318194	
0.188	0.0309981	
0.189	0.0297567	
0.190	0.0297567	
0.191	0.0305664	
0.192	0.0313114	
0.193	0.0313114	
0.194	0.0304537	
0.195	0.0301658	
0.196	0.0306618	
0.197	0.0310643	
0.198	0.0309947	
0.199	0.0307315	
0.200	0.030518	
0.201	0.0309214	
0.202	0.0308821	
0.203	0.0301201	
0.204	0.030275	
0.205	0.030275	
0.206	0.0319308	
0.207	0.0317877	
0.208	0.0317877	
0.209	0.0312117	
0.210	0.0314573	
0.211	0.0317629	
0.212	0.0319529	
0.213	0.0318105	
0.214	0.0312245	
0.215	0.031079	
0.216	0.0312589	
0.217	0.030797	
0.218	0.0306072	
0.219	0.030672	
0.220	0.0306102	
0.221	0.0301895	
0.222	0.0301895	
0.223	0.0292641	
0.224	0.0293769	
0.225	0.0293595	
0.226	0.0292342	
0.227	0.028849	
0.228	0.0290283	
0.229	0.0289091	
0.230	0.0285782	
0.231	0.028803	
0.232	0.0288949	
0.233	0.028608	
0.234	0.0287423	
0.235	0.0302285	
0.236	0.0302285	
0.237	0.0303501	
0.238	0.0294422	
0.239	0.0299508	
0.240	0.031074	
0.241	0.0317871	
0.242	0.0316615	
0.243	0.0309101	
0.244	0.0306982	
0.245	0.0307469	
0.246	0.0310735	
0.247	0.0315161	
0.248	0.0313833	
0.249	0.0305803	
0.250	0.0301131	
0.251	0.0301185	
0.252	0.0300685	
0.253	0.0298798	
0.254	0.0297173	
0.255	0.0298062	
0.256	0.0295831	
0.257	0.0288155	
0.258	0.0279458	
0.259	0.0282879	
0.260	0.0294915	
0.261	0.0300656	
0.262	0.0295443	
0.263	0.0290025	
0.264	0.0293601	
0.265	0.0302312	
0.266	0.0309385	
0.267	0.0311633	
0.268	0.0309337	
0.269	0.0306489	
0.270	0.0308319	
0.271	0.0313534	
0.272	0.0316913	
0.273	0.0316496	
0.274	0.0308778	
0.275	0.0303094	
0.276	0.030446	
0.277	0.0311399	
0.278	0.0311377	
0.279	0.030184	
0.280	0.0292586	
0.281	0.028797	
0.282	0.0291231	
0.283	0.0294671	
0.284	0.0293984	
0.285	0.0289242	
0.286	0.0283387	
0.287	0.028672	
0.288	0.0293107	
0.289	0.0296862	
0.290	0.029838	
0.291	0.029746	
0.292	0.0298107	
0.293	0.0299496	
0.294	0.0302378	
0.295	0.0304769	
0.296	0.030303	
0.297	0.030312	
0.298	0.0304632	
0.299	0.0305182	
0.300	0.0306082	
0.301	0.0303036	
0.302	0.0301119	
0.303	0.030578	
0.304	0.0305521	
0.305	0.0301472	
0.306	0.0298676	
0.307	0.0299682	
0.308	0.0298386	
0.309	0.0295417	
0.310	0.0296156	
0.311	0.0297816	
0.312	0.0296347	
0.313	0.0296431	
0.314	0.0299881	
0.315	0.0296358	
0.316	0.0294373	
0.317	0.0296374	
0.318	0.0301563	
0.319	0.0303636	
0.320	0.0301694	
0.321	0.0297015	
0.322	0.0297015	
0.323	0.0297743	
0.324	0.0303602	
0.325	0.0304311	
0.326	0.0304012	
0.327	0.0301822	
0.328	0.0297911	
0.329	0.0296766	
0.330	0.0300135	
0.331	0.0301055	
0.332	0.029848	
0.333	0.0292582	
0.334	0.0292582	
0.335	0.0289217	
0.336	0.0291913	
0.337	0.0295995	
0.338	0.0294155	
0.339	0.0288776	
0.340	0.0285343	
0.341	0.0288145	
0.342	0.0292644	
0.343	0.0292966	
0.344	0.0288697	
0.345	0.0284841	
0.346	0.0289219	
0.347	0.0298172	
0.348	0.0303518	
0.349	0.0303518	
0.350	0.0295896	
0.351	0.0297021	
0.352	0.0306248	
0.353	0.0311866	
0.354	0.0307395	
0.355	0.0296312	
0.356	0.0293334	
0.357	0.0293334	
0.358	0.0312251	
0.359	0.0305637	
0.360	0.0305637	
0.361	0.0286337	
0.362	0.0286337	
0.363	0.0303682	
0.364	0.030118	
0.365	0.0283386	
0.366	0.0276946	
0.367	0.0276946	
0.368	0.0294999	
0.369	0.0296662	
0.370	0.0293919	
0.371	0.0276037	
0.372	0.0275203	
0.373	0.02868	
0.374	0.0294159	
0.375	0.0292306	
0.376	0.0284181	
0.377	0.0280372	
0.378	0.0283888	
0.379	0.02926	
0.380	0.0295381	
0.381	0.029131	
