Time [s]	gt_FA2TC_data.n_meas(W:0000EED4h)	
0.000	0.0299454	
0.001	0.0299454	
0.002	0.0298231	
0.003	0.0295905	
0.004	0.0295905	
0.005	0.0298272	
0.006	0.0301437	
0.007	0.0301437	
0.008	0.0302433	
0.009	0.0302433	
0.010	0.0299192	
0.011	0.0300634	
0.012	0.0300634	
0.013	0.0304341	
0.014	0.0304492	
0.015	0.0302513	
0.016	0.0300478	
0.017	0.0300478	
0.018	0.030372	
0.019	0.030372	
0.020	0.0305821	
0.021	0.0303175	
0.022	0.0303175	
0.023	0.0303245	
0.024	0.0305735	
0.025	0.0309513	
0.026	0.0308517	
0.027	0.0305159	
0.028	0.0301984	
0.029	0.0303628	
0.030	0.0306398	
0.031	0.0309002	
0.032	0.0309018	
0.033	0.0305086	
0.034	0.0302796	
0.035	0.0302796	
0.036	0.0307739	
0.037	0.0309536	
0.038	0.0309798	
0.039	0.0307106	
0.040	0.0304959	
0.041	0.0303753	
0.042	0.030709	
0.043	0.0310121	
0.044	0.031152	
0.045	0.0310107	
0.046	0.0307745	
0.047	0.0306568	
0.048	0.0307684	
0.049	0.0309783	
0.050	0.0311727	
0.051	0.0311194	
0.052	0.0308615	
0.053	0.0306816	
0.054	0.0306038	
0.055	0.0307243	
0.056	0.0308528	
0.057	0.0306923	
0.058	0.0305495	
0.059	0.0305058	
0.060	0.0304617	
0.061	0.030531	
0.062	0.0306481	
0.063	0.0307103	
0.064	0.0307533	
0.065	0.0307889	
0.066	0.0306998	
0.067	0.030669	
0.068	0.0307416	
0.069	0.0307641	
0.070	0.0307512	
0.071	0.0307219	
0.072	0.0305004	
0.073	0.0305435	
0.074	0.0305837	
0.075	0.0306392	
0.076	0.0305896	
0.077	0.0305006	
0.078	0.0303367	
0.079	0.030328	
0.080	0.0303585	
0.081	0.0304707	
0.082	0.0305699	
0.083	0.0305294	
0.084	0.0304886	
0.085	0.0305017	
0.086	0.0304692	
0.087	0.0306395	
0.088	0.0307205	
0.089	0.0307359	
0.090	0.030799	
0.091	0.0307571	
0.092	0.0306342	
0.093	0.0306684	
0.094	0.0307358	
0.095	0.0307767	
0.096	0.0308209	
0.097	0.0306327	
0.098	0.0305424	
0.099	0.0304203	
0.100	0.0304556	
0.101	0.0305284	
0.102	0.0304043	
0.103	0.030398	
0.104	0.0303217	
0.105	0.0302309	
0.106	0.030212	
0.107	0.0303984	
0.108	0.0303655	
0.109	0.0302106	
