Time [s]	gt_FA2TC_data.n_meas(W:0000EED4h)	
0.255	0.0258946	
0.256	0.0266788	
0.257	0.0267654	
0.258	0.0267703	
0.259	0.0269173	
0.260	0.0272949	
0.261	0.0277073	
0.262	0.0276554	
0.263	0.0275905	
0.264	0.0277484	
0.265	0.0279398	
0.266	0.0281874	
0.267	0.0283415	
0.268	0.0281696	
0.269	0.0280659	
0.270	0.0281711	
0.271	0.0283722	
0.272	0.0282165	
0.273	0.027859	
0.274	0.0276763	
0.275	0.027691	
0.276	0.0277612	
0.277	0.0275831	
0.278	0.0272722	
0.279	0.0271062	
0.280	0.0272783	
0.281	0.0274866	
0.282	0.0275387	
0.283	0.0274435	
0.284	0.0275347	
0.285	0.0279819	
0.286	0.0284475	
0.287	0.0287295	
0.288	0.0289187	
0.289	0.0292125	
0.290	0.0299041	
0.291	0.0305439	
0.292	0.0309102	
0.293	0.0310693	
0.294	0.0314265	
0.295	0.0321386	
0.296	0.0326763	
0.297	0.0328698	
0.298	0.0328272	
0.299	0.032852	
0.300	0.0330049	
0.301	0.0332093	
0.302	0.0330693	
0.303	0.0327882	
0.304	0.0325956	
0.305	0.0325674	
0.306	0.0326271	
0.307	0.0324637	
0.308	0.0321133	
0.309	0.0318127	
0.310	0.0316891	
0.311	0.0316829	
0.312	0.0317716	
0.313	0.0320083	
0.314	0.0322136	
0.315	0.0324601	
0.316	0.0328251	
0.317	0.0331717	
0.318	0.0332463	
0.319	0.0332432	
0.320	0.0332317	
0.321	0.0335919	
0.322	0.0340107	
0.323	0.0340834	
0.324	0.0338549	
0.325	0.0337274	
0.326	0.0337068	
0.327	0.0337796	
0.328	0.03377	
0.329	0.0334349	
0.330	0.0332667	
0.331	0.0333496	
0.332	0.0333496	
0.333	0.0334154	
0.334	0.0333435	
0.335	0.0333493	
0.336	0.0334715	
0.337	0.0338655	
0.338	0.0342101	
0.339	0.0343278	
0.340	0.0344169	
0.341	0.0344169	
0.342	0.0349167	
0.343	0.0349167	
0.344	0.0351079	
0.345	0.0351079	
